0, 02-05-2020 20:20:41, Hardware monitoring log v1.5 ,,,,,,,,
1, 02-05-2020 20:20:41, GeForce RTX 2070,Intel(R) HD Graphics 630,,,,,,,
2, 02-05-2020 20:20:41, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,
80, 02-05-2020 20:21:31,5,455.852,31.25,4191.153,3244,307.9,5.358,,63.38
80, 02-05-2020 20:21:32,5,455.852,29.297,4191.165,3232,304.9,5.582,,63.44
80, 02-05-2020 20:21:33,5,455.852,33.203,4191.149,3238,293.6,5.602,,63.44
80, 02-05-2020 20:21:34,5,455.852,30.469,4191.168,3232,289.4,5.603,,63.44
80, 02-05-2020 20:21:35,5,455.852,32.031,4191.157,3232,280.6,5.932,,63.38
80, 02-05-2020 20:21:36,5,455.852,28.516,4191.157,3232,278.7,6.028,,63.38
80, 02-05-2020 20:21:37,5,455.852,28.906,4191.159,3243,275.6,6.124,,63.38
80, 02-05-2020 20:21:38,5,455.852,46.094,4191.159,3235,258.9,6.156,,63.71
80, 02-05-2020 20:21:39,5,455.852,58.984,4191.158,3236,241.5,6.866,,63.38
80, 02-05-2020 20:21:40,5,455.852,55.469,4191.159,3235,240.4,6.864,,63.39
80, 02-05-2020 20:21:41,5,455.852,54.688,4191.159,3246,239.2,6.381,,63.39
80, 02-05-2020 20:21:42,5,455.852,57.031,4191.159,3241,233.3,7.175,,63.41
80, 02-05-2020 20:21:43,5,455.852,57.422,4191.159,3239,227.9,7.062,,63.41
80, 02-05-2020 20:21:44,5,455.852,56.25,4191.159,3239,226.5,6.457,,63.88
80, 02-05-2020 20:21:45,4,455.852,55.859,4191.158,3250,223.6,6.765,,63.88
80, 02-05-2020 20:21:46,4,455.852,55.469,4191.158,3240,215.8,8.458,,63.39
80, 02-05-2020 20:21:47,5,455.852,55.078,4191.158,3240,215.8,6.621,,63.35
80, 02-05-2020 20:21:48,4,455.852,45.313,4191.159,3239,218.1,6.927,,63.37
80, 02-05-2020 20:21:49,5,455.852,28.125,4191.159,3248,225.6,6.924,,63.4
80, 02-05-2020 20:21:50,5,455.852,31.25,4191.158,3240,221.7,6.649,,63.4
80, 02-05-2020 20:21:51,5,455.852,29.297,4191.158,3240,219,7.189,,63.39
80, 02-05-2020 20:21:52,5,455.852,33.594,4191.159,3248,216.1,6.912,,63.39
80, 02-05-2020 20:21:53,5,455.852,28.906,4191.158,3250,213.1,7.274,,63.36
80, 02-05-2020 20:21:54,5,455.852,29.297,4191.158,3241,209.9,7.164,,63.36
80, 02-05-2020 20:21:55,5,455.852,30.078,4191.158,3241,207.3,7.208,,63.34
80, 02-05-2020 20:21:56,5,455.852,28.516,4191.159,3246,200.6,25.528,,63.7
80, 02-05-2020 20:21:57,4,455.852,30.078,4191.159,3246,199.4,7.432,,63.37
