0, 18-04-2020 14:26:24, Hardware monitoring log v1.5 ,,,,,,,,,,,,,
1, 18-04-2020 14:26:24, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,
2, 18-04-2020 14:26:24, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,
80, 18-04-2020 14:26:55,42,28,66.965,888.31,800,53,16.797,3190.15,3297,237.8,0,,,2020-04-18T14:26:55.410137300+03:00 polygons 336 objects 28
80, 18-04-2020 14:26:56,42,28,66.965,888.31,800,60,17.383,3190.149,3297,236.9,0,,,2020-04-18T14:26:56.409922400+03:00 polygons 348 objects 29
80, 18-04-2020 14:26:57,42,28,66.965,888.31,800,59,15.625,3190.149,3297,231.9,0,,,2020-04-18T14:26:57.409673400+03:00 polygons 360 objects 30
80, 18-04-2020 14:26:58,42,27,66.965,888.31,800,59,16.016,3289.841,3297,222.5,0,,,2020-04-18T14:26:58.425072700+03:00 polygons 372 objects 31
80, 18-04-2020 14:26:59,42,26,66.965,888.31,800,58,16.602,3289.841,3298,209.6,0,,,2020-04-18T14:26:59.424823100+03:00 polygons 384 objects 32
80, 18-04-2020 14:27:00,42,23,66.965,888.31,800,58,16.992,3190.149,3298,205.6,0,,,2020-04-18T14:27:00.424589300+03:00 polygons 396 objects 33
80, 18-04-2020 14:27:01,42,25,66.965,888.31,800,58,15.43,3190.149,3298,204.1,0,,,2020-04-18T14:27:01.424385+03:00 polygons 408 objects 34
80, 18-04-2020 14:27:02,42,25,66.965,888.31,800,60,17.188,3190.149,3298,202.6,0,,,2020-04-18T14:27:02.424201100+03:00 polygons 420 objects 35
80, 18-04-2020 14:27:03,42,25,66.965,888.31,800,58,16.211,3190.149,3298,202.7,0,,,2020-04-18T14:27:03.423890100+03:00 polygons 432 objects 36
80, 18-04-2020 14:27:04,42,25,66.965,888.31,800,57,15.454,3289.84,3298,195.7,0,,,2020-04-18T14:27:04.439278200+03:00 polygons 444 objects 37
80, 18-04-2020 14:27:05,42,25,66.965,888.31,800,57,15.625,3190.148,3298,191.6,0,,,2020-04-18T14:27:05.439068700+03:00 polygons 456 objects 38
80, 18-04-2020 14:27:06,42,24,66.965,888.31,800,59,15.039,3289.841,3298,189.2,0,,,2020-04-18T14:27:06.438830700+03:00 polygons 468 objects 39
80, 18-04-2020 14:27:07,42,24,66.965,888.31,800,60,15.82,3190.149,3298,184.9,0,,,2020-04-18T14:27:07.438589500+03:00 polygons 480 objects 40
80, 18-04-2020 14:27:08,42,23,66.965,888.31,800,58,15.625,3190.149,3295,180.1,0,,,2020-04-18T14:27:08.453986900+03:00 polygons 492 objects 41
80, 18-04-2020 14:27:09,42,23,66.965,888.31,800,60,15.234,3190.149,3296,179,0,,,2020-04-18T14:27:09.453757200+03:00 polygons 504 objects 42
