00, 02-05-2020 19:57:26, Hardware monitoring log v1.5 
01, 02-05-2020 19:57:26, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:57:26, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:58:10, 10.000              ,463.242             ,31.641              ,4191.158            ,3997.000            ,541.800             ,3.176               
80, 02-05-2020 19:58:11, 10.000              ,463.242             ,28.906              ,4191.159            ,4002.000            ,527.100             ,2.590               
80, 02-05-2020 19:58:12, 10.000              ,463.242             ,31.250              ,4191.159            ,3997.000            ,505.900             ,3.028               
80, 02-05-2020 19:58:13, 10.000              ,463.242             ,29.297              ,4191.158            ,4007.000            ,489.500             ,2.713               
80, 02-05-2020 19:58:14, 9.000               ,463.242             ,31.250              ,4191.158            ,4010.000            ,471.000             ,6.827               
80, 02-05-2020 19:58:15, 9.000               ,463.242             ,28.906              ,4191.158            ,4010.000            ,457.100             ,3.031               
80, 02-05-2020 19:58:16, 9.000               ,463.242             ,30.078              ,4191.159            ,3999.000            ,442.300             ,3.619               
80, 02-05-2020 19:58:17, 9.000               ,463.242             ,28.906              ,4191.158            ,4000.000            ,426.800             ,3.404               
80, 02-05-2020 19:58:18, 9.000               ,463.242             ,29.297              ,4191.159            ,3999.000            ,415.800             ,3.513               
80, 02-05-2020 19:58:19, 9.000               ,463.242             ,29.688              ,4191.158            ,4007.000            ,405.400             ,3.293               
80, 02-05-2020 19:58:20, 9.000               ,463.242             ,30.078              ,4191.158            ,3999.000            ,389.800             ,3.350               
80, 02-05-2020 19:58:21, 9.000               ,463.242             ,30.078              ,4191.159            ,4005.000            ,380.400             ,3.429               
80, 02-05-2020 19:58:22, 9.000               ,463.242             ,31.250              ,4191.158            ,4009.000            ,371.800             ,3.811               
80, 02-05-2020 19:58:23, 9.000               ,463.242             ,28.125              ,4191.158            ,4013.000            ,360.200             ,4.255               
80, 02-05-2020 19:58:24, 9.000               ,463.242             ,34.375              ,4191.159            ,3999.000            ,346.600             ,4.114               
80, 02-05-2020 19:58:25, 8.000               ,463.242             ,55.469              ,4191.159            ,4000.000            ,324.800             ,4.363               
80, 02-05-2020 19:58:26, 8.000               ,463.242             ,57.031              ,4191.158            ,4014.000            ,314.800             ,4.484               
80, 02-05-2020 19:58:27, 8.000               ,463.242             ,55.078              ,4191.159            ,4013.000            ,310.200             ,4.544               
80, 02-05-2020 19:58:28, 8.000               ,463.242             ,55.469              ,4191.158            ,4001.000            ,302.800             ,5.400               
80, 02-05-2020 19:58:29, 8.000               ,463.242             ,56.250              ,4191.158            ,4011.000            ,295.400             ,4.802               
80, 02-05-2020 19:58:30, 8.000               ,463.242             ,57.422              ,4191.158            ,4014.000            ,289.200             ,4.848               
80, 02-05-2020 19:58:31, 8.000               ,463.242             ,57.813              ,4191.158            ,4013.000            ,283.600             ,4.870               
80, 02-05-2020 19:58:32, 8.000               ,463.242             ,52.344              ,4191.158            ,4002.000            ,278.900             ,4.402               
80, 02-05-2020 19:58:33, 8.000               ,463.242             ,55.078              ,4191.159            ,4002.000            ,271.400             ,6.318               
80, 02-05-2020 19:58:34, 8.000               ,463.242             ,51.172              ,4191.159            ,4012.000            ,266.300             ,5.603               
80, 02-05-2020 19:58:35, 8.000               ,463.242             ,28.516              ,4191.158            ,4011.000            ,272.300             ,4.503               
80, 02-05-2020 19:58:36, 8.000               ,463.242             ,26.953              ,4191.158            ,4002.000            ,268.300             ,4.457               
80, 02-05-2020 19:58:37, 8.000               ,463.242             ,28.906              ,4191.159            ,4012.000            ,262.200             ,5.055               
80, 02-05-2020 19:58:38, 8.000               ,463.242             ,30.078              ,4191.159            ,4014.000            ,258.400             ,4.823               
80, 02-05-2020 19:58:39, 8.000               ,463.242             ,27.344              ,4191.158            ,4014.000            ,254.100             ,5.213               
80, 02-05-2020 19:58:40, 8.000               ,463.242             ,28.906              ,4191.158            ,4015.000            ,249.900             ,5.015               
