0, 18-04-2020 18:43:21, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 18:43:21, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 18:43:21, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,,,
80, 18-04-2020 18:43:51,43,37,80.816,1097.138,2505.6,56,19.531,3190.15,3421,492.1,0,,,42.07,,336,28,,,,,,,,,,
80, 18-04-2020 18:43:52,44,38,80.816,1097.138,2505.6,55,19.727,3289.84,3424,525.4,0,,,42.18,,348,29,,,,,,,,,,
80, 18-04-2020 18:43:53,44,39,80.816,1097.138,2505.6,53,21.289,3190.148,3420,510,0,,,42.18,,360,30,,,,,,,,,,
80, 18-04-2020 18:43:54,44,37,80.816,1097.138,2505.6,57,20.898,3190.149,3420,460.8,51.697,,,42.2,,372,31,,,,,,,,,,
80, 18-04-2020 18:43:55,44,39,80.816,1097.138,2505.6,56,18.75,3190.149,3423,536.7,4.731,,,42.22,,384,32,,,,,,,,,,
80, 18-04-2020 18:43:56,44,41,80.816,1097.138,2505.6,58,20.508,3190.149,3426,524.1,3.723,,,42.22,,396,33,,,,,,,,,,
80, 18-04-2020 18:43:57,44,37,80.816,1097.138,2505.6,58,20.117,3190.142,3428,508.2,3.849,,,42.22,,408,34,,,,,,,,,,
80, 18-04-2020 18:43:58,44,36,80.816,1097.138,2505.6,58,20.508,3190.142,3428,541.6,4.746,,,42.25,,420,35,,,,,,,,,,
80, 18-04-2020 18:43:59,44,40,80.816,1097.138,2505.6,59,19.922,3190.15,3422,529.2,4.837,,,42.32,,432,36,,,,,,,,,,
80, 18-04-2020 18:44:00,44,39,80.816,1097.138,2505.6,58,21.484,3190.15,3425,518.5,4.741,,,42.32,,444,37,,,,,,,,,,
80, 18-04-2020 18:44:01,44,39,80.816,1097.138,2505.6,59,18.359,3090.457,3425,525.9,3.894,,,42.32,,456,38,,,,,,,,,,
80, 18-04-2020 18:44:02,45,40,80.816,1097.138,2505.6,59,18.164,3190.144,3426,534.7,3.451,,,42.32,,468,39,,,,,,,,,,
80, 18-04-2020 18:44:03,44,40,80.816,1097.138,2505.6,60,21.094,3190.151,3424,510.4,3.795,,,42.32,,480,40,,,,,,,,,,
80, 18-04-2020 18:44:04,45,40,80.816,1097.138,2505.6,58,18.555,3190.151,3426,506.1,3.557,,,42.37,,492,41,,,,,,,,,,
80, 18-04-2020 18:44:05,45,39,80.816,1097.138,2505.6,54,17.969,3190.148,3426,532.6,3.762,,,42.45,,504,42,,,,,,,,,,
80, 18-04-2020 18:44:06,45,39,80.816,1097.138,2505.6,60,18.75,3190.149,3429,503.7,5.146,,,42.45,,516,43,,,,,,,,,,
80, 18-04-2020 18:44:07,45,38,80.816,1097.138,2505.6,60,18.945,3190.149,3431,505,4.043,,,42.45,,528,44,,,,,,,,,,
80, 18-04-2020 18:44:08,45,37,80.816,1097.138,2505.6,59,18.555,3190.149,3431,506.2,4.306,,,42.45,,540,45,,,,,,,,,,
80, 18-04-2020 18:44:09,45,38,80.816,1097.138,2505.6,57,18.945,3190.143,3425,500,4.634,,,42.45,,552,46,,,,,,,,,,
80, 18-04-2020 18:44:10,45,38,80.816,1097.138,2505.6,55,18.555,3190.143,3426,502.7,4.365,,,42.45,,564,47,,,,,,,,,,
80, 18-04-2020 18:44:11,45,38,80.816,1097.138,2505.6,59,19.531,3090.457,3436,490.4,4.668,,,42.55,,576,48,,,,,,,,,,
80, 18-04-2020 18:44:12,45,38,80.816,1097.138,2505.6,59,18.164,1495.382,3436,476.9,4.243,,,42.55,,588,49,,,,,,,,,,
80, 18-04-2020 18:44:13,45,38,80.816,1097.138,2505.6,59,18.359,3190.151,3429,490.4,4.518,,,42.56,,600,50,,,,,,,,,,
80, 18-04-2020 18:44:14,45,38,80.816,1097.138,2505.6,56,19.531,3289.844,3430,491.6,4.702,,,42.56,,612,51,,,,,,,,,,
80, 18-04-2020 18:44:15,45,37,80.816,1097.138,2505.6,61,19.141,3090.454,3430,496.8,4.55,,,42.56,,624,52,,,,,,,,,,
80, 18-04-2020 18:44:16,45,37,80.816,1097.138,2505.6,57,19.141,3190.146,3431,490.6,4.126,,,42.56,,636,53,,,,,,,,,,
80, 18-04-2020 18:44:17,46,38,80.816,1097.138,2505.6,63,18.359,3190.15,3429,477.2,3.957,,,42.56,,648,54,,,,,,,,,,
80, 18-04-2020 18:44:18,46,36,80.816,1097.138,2505.6,60,21.289,3190.15,3428,469.6,3.904,,,42.66,,660,55,,,,,,,,,,
80, 18-04-2020 18:44:19,46,35,80.816,1097.138,2505.6,62,18.164,3190.149,3428,465.1,5.014,,,42.66,,672,56,,,,,,,,,,
80, 18-04-2020 18:44:20,45,46,80.816,888.31,800,58,19.336,3190.149,3428,458.7,3.806,,,42.66,,684,57,,,,,,,,,,
80, 18-04-2020 18:44:21,45,47,80.816,888.31,800,61,18.75,3190.148,3429,425.9,5.306,,,42.66,,696,58,,,,,,,,,,
80, 18-04-2020 18:44:22,45,48,80.816,888.31,800,61,20.117,3190.148,3429,428.5,4.511,,,42.7,,708,59,,,,,,,,,,
80, 18-04-2020 18:44:23,45,46,80.816,888.31,800,60,19.645,3190.146,3428,419.6,5.392,,,42.75,,720,60,,,,,,,,,,
80, 18-04-2020 18:44:24,45,47,80.816,888.31,800,61,22.656,3190.154,3430,399.7,0,,,42.75,,732,61,,,,,,,,,,
80, 18-04-2020 18:44:25,45,46,80.816,888.31,800,57,19.727,3190.154,3432,405.6,0,,,42.75,,744,62,,,,,,,,,,
80, 18-04-2020 18:44:26,45,40,80.816,888.31,800,61,20.117,3090.457,3431,408.4,0,,,42.75,,756,63,,,,,,,,,,
80, 18-04-2020 18:44:27,45,46,80.816,888.31,800,60,18.945,3190.149,3428,406.5,0,,,42.75,,768,64,,,,,,,,,,
80, 18-04-2020 18:44:28,45,46,80.816,888.31,800,58,21.68,3289.84,3429,402.9,0,,,42.75,,780,65,,,,,,,,,,
80, 18-04-2020 18:44:29,45,45,80.816,888.31,800,58,21.484,3289.84,3432,395.8,0,,,42.85,,792,66,,,,,,,,,,
80, 18-04-2020 18:44:30,45,45,80.816,888.31,800,61,19.141,3190.149,3431,390,0,,,42.85,,804,67,,,,,,,,,,
80, 18-04-2020 18:44:31,45,46,80.816,888.31,800,57,21.289,3190.149,3433,396.2,0,,,42.85,,816,68,,,,,,,,,,
80, 18-04-2020 18:44:32,45,46,80.816,888.31,800,61,21.484,3289.841,3430,396.9,0,,,42.86,,828,69,,,,,,,,,,
80, 18-04-2020 18:44:33,45,46,80.816,888.31,800,58,18.945,3190.149,3430,400.7,0,,,42.86,,840,70,,,,,,,,,,
80, 18-04-2020 18:44:34,45,46,80.816,888.31,800,62,19.727,3190.148,3431,400.1,0,,,42.93,,852,71,,,,,,,,,,
80, 18-04-2020 18:44:35,45,45,80.816,888.31,800,60,27.539,3190.145,3443,368.6,0,,,42.93,,864,72,,,,,,,,,,
80, 18-04-2020 18:44:36,45,43,80.816,888.31,800,62,19.141,3289.837,3435,370.7,0,,,42.96,,876,73,,,,,,,,,,
80, 18-04-2020 18:44:37,45,42,80.816,888.31,800,58,19.531,3190.15,3435,389.8,0,,,42.97,,888,74,,,,,,,,,,
80, 18-04-2020 18:44:38,45,44,80.816,888.31,800,56,17.773,3289.842,3435,384.5,0,,,42.97,,900,75,,,,,,,,,,
80, 18-04-2020 18:44:39,45,44,80.816,888.31,800,62,17.969,3190.149,3437,389,0,,,42.97,,912,76,,,,,,,,,,
80, 18-04-2020 18:44:40,45,43,80.816,888.31,800,63,18.555,3190.15,3437,384.5,0,,,43.05,,924,77,,,,,,,,,,
80, 18-04-2020 18:44:41,45,44,80.816,888.31,800,62,18.164,3190.15,3435,382.9,0,,,43.08,,936,78,,,,,,,,,,
80, 18-04-2020 18:44:42,45,43,80.816,888.31,800,62,18.359,3190.148,3439,378.3,0,,,43.08,,948,79,,,,,,,,,,
80, 18-04-2020 18:44:43,45,42,80.816,888.31,800,63,18.75,3289.84,3439,374.3,0,,,45.08,,960,80,,,,,,,,,,
80, 18-04-2020 18:44:44,45,43,80.816,888.31,800,61,20.117,3190.148,3439,378,0,,,45.1,,972,81,,,,,,,,,,
80, 18-04-2020 18:44:45,45,44,80.816,888.31,800,63,18.945,3289.84,3440,374.8,0,,,45.1,,984,82,,,,,,,,,,
80, 18-04-2020 18:44:46,45,43,80.816,888.31,800,63,17.578,3190.149,3437,371.1,0,,,45.1,,996,83,,,,,,,,,,
80, 18-04-2020 18:44:47,45,44,80.816,888.31,800,61,19.336,3190.149,3431,370.3,0,,,45.2,,1008,84,,,,,,,,,,
80, 18-04-2020 18:44:48,45,43,80.816,888.31,800,63,19.531,3190.15,3429,371.8,0,,,45.21,,1020,85,,,,,,,,,,
80, 18-04-2020 18:44:49,45,43,80.816,888.31,800,61,18.223,3190.148,3429,364,0,,,45.21,,1032,86,,,,,,,,,,
80, 18-04-2020 18:44:50,45,42,80.816,888.31,800,60,19.141,3190.148,3429,363.1,0,,,45.21,,1044,87,,,,,,,,,,
80, 18-04-2020 18:44:51,46,40,80.816,888.31,800,62,16.602,3289.841,3429,365.8,0,,,45.21,,1056,88,,,,,,,,,,
80, 18-04-2020 18:44:52,46,42,80.816,888.31,800,63,17.383,3190.144,3428,361.9,0,,,43.28,,1068,89,,,,,,,,,,
80, 18-04-2020 18:44:53,46,42,80.816,888.31,800,63,18.75,3190.144,3429,360.4,0,,,43.28,,1080,90,,,,,,,,,,
80, 18-04-2020 18:44:54,46,42,80.816,888.31,800,59,17.578,3190.149,3432,355.9,0,,,43.35,,1092,91,,,,,,,,,,
80, 18-04-2020 18:44:55,46,42,80.816,888.31,800,60,18.555,3190.149,3432,358.2,0,,,43.35,,1104,92,,,,,,,,,,
80, 18-04-2020 18:44:56,46,41,80.816,888.31,800,62,18.555,3289.842,3428,356,0,,,43.35,,1116,93,,,,,,,,,,
80, 18-04-2020 18:44:57,46,42,80.816,888.31,800,61,18.945,3289.842,3430,353,0,,,43.35,,1128,94,,,,,,,,,,
80, 18-04-2020 18:44:58,46,41,80.816,888.31,800,61,19.336,3289.84,3431,350.3,0,,,43.41,,1140,95,,,,,,,,,,
80, 18-04-2020 18:44:59,46,40,80.816,888.31,800,59,17.773,3190.149,3433,351.9,0,,,43.41,,1152,96,,,,,,,,,,
80, 18-04-2020 18:45:00,46,40,80.816,888.31,800,63,20.703,3090.457,3431,347.1,0,,,43.41,,1164,97,,,,,,,,,,
80, 18-04-2020 18:45:01,46,41,80.816,888.31,800,63,18.75,3190.149,3431,343.1,0,,,43.45,,1176,98,,,,,,,,,,
80, 18-04-2020 18:45:02,46,38,80.816,888.31,800,58,17.773,3090.457,3431,344.1,0,,,43.45,,1188,99,,,,,,,,,,
80, 18-04-2020 18:45:03,46,38,80.816,888.31,800,60,18.164,3190.149,3435,341.1,0,,,45.45,,1200,100,,,,,,,,,,
80, 18-04-2020 18:45:04,46,41,80.816,888.31,800,63,18.164,3190.149,3436,344.7,0,,,45.45,,1212,101,,,,,,,,,,
80, 18-04-2020 18:45:05,46,40,80.816,888.31,800,63,20.898,3090.456,3433,336.2,0,,,45.52,,1224,102,,,,,,,,,,
80, 18-04-2020 18:45:06,46,40,80.816,888.31,800,62,18.555,3190.148,3433,333.4,0,,,45.55,,1236,103,,,,,,,,,,
80, 18-04-2020 18:45:07,46,40,80.816,888.31,800,63,17.969,3190.149,3433,341.4,0,,,45.55,,1248,104,,,,,,,,,,
80, 18-04-2020 18:45:08,46,40,80.816,888.31,800,60,20.703,3190.149,3436,334.3,0,,,45.55,,1260,105,,,,,,,,,,
80, 18-04-2020 18:45:09,46,40,80.816,888.31,800,64,19.531,3289.84,3437,331.4,0,,,45.55,,1272,106,,,,,,,,,,
80, 18-04-2020 18:45:10,46,40,80.816,888.31,800,63,17.578,3190.148,3434,335.5,0,,,45.62,,1284,107,,,,,,,,,,
