00, 02-05-2020 19:40:55, Hardware monitoring log v1.5 
01, 02-05-2020 19:40:55, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:40:55, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:41:39, 17.000              ,474.586             ,64.453              ,4191.159            ,3947.000            ,1565.300            ,1.284               
80, 02-05-2020 19:41:40, 18.000              ,474.586             ,62.891              ,4191.159            ,3947.000            ,1555.300            ,1.426               
80, 02-05-2020 19:41:41, 18.000              ,474.586             ,59.766              ,4191.158            ,3917.000            ,1554.800            ,1.147               
80, 02-05-2020 19:41:42, 18.000              ,474.586             ,60.547              ,4191.158            ,3901.000            ,1473.200            ,2.372               
80, 02-05-2020 19:41:43, 18.000              ,474.586             ,59.375              ,4191.158            ,3899.000            ,1444.200            ,1.521               
80, 02-05-2020 19:41:44, 18.000              ,474.586             ,58.203              ,4191.159            ,3900.000            ,1396.300            ,1.597               
80, 02-05-2020 19:41:45, 17.000              ,474.586             ,66.797              ,4191.159            ,3899.000            ,1293.200            ,1.436               
80, 02-05-2020 19:41:46, 17.000              ,474.586             ,58.984              ,4191.158            ,3898.000            ,1332.800            ,0.000               
80, 02-05-2020 19:41:47, 18.000              ,474.586             ,39.063              ,4191.158            ,3895.000            ,1415.500            ,0.000               
80, 02-05-2020 19:41:48, 19.000              ,474.586             ,44.922              ,4191.159            ,3902.000            ,1356.200            ,0.000               
80, 02-05-2020 19:41:49, 18.000              ,474.586             ,37.109              ,4191.159            ,3902.000            ,1459.900            ,0.000               
80, 02-05-2020 19:41:50, 19.000              ,474.586             ,34.375              ,4191.159            ,3901.000            ,1446.800            ,0.000               
80, 02-05-2020 19:41:51, 19.000              ,474.586             ,36.328              ,4191.159            ,3901.000            ,1416.400            ,0.000               
80, 02-05-2020 19:41:52, 19.000              ,474.586             ,34.375              ,4191.158            ,3901.000            ,1402.300            ,0.000               
80, 02-05-2020 19:41:53, 19.000              ,474.586             ,37.891              ,4191.158            ,3901.000            ,1380.500            ,0.000               
80, 02-05-2020 19:41:54, 18.000              ,474.586             ,32.813              ,4191.158            ,3901.000            ,1338.800            ,0.000               
80, 02-05-2020 19:41:55, 18.000              ,474.586             ,33.984              ,4191.158            ,3901.000            ,1341.500            ,0.000               
80, 02-05-2020 19:41:56, 18.000              ,474.586             ,35.938              ,4191.158            ,3900.000            ,1327.600            ,0.000               
80, 02-05-2020 19:41:57, 18.000              ,474.586             ,35.156              ,4191.158            ,3900.000            ,1305.600            ,0.000               
80, 02-05-2020 19:41:58, 18.000              ,474.586             ,37.109              ,4191.159            ,3908.000            ,1235.700            ,0.000               
80, 02-05-2020 19:41:59, 17.000              ,474.586             ,36.719              ,4191.158            ,3900.000            ,1191.800            ,0.000               
80, 02-05-2020 19:42:00, 17.000              ,474.586             ,37.109              ,4191.158            ,3901.000            ,1236.600            ,0.000               
80, 02-05-2020 19:42:01, 18.000              ,474.586             ,43.359              ,4191.159            ,3899.000            ,1174.900            ,0.000               
80, 02-05-2020 19:42:02, 16.000              ,474.586             ,59.766              ,4191.157            ,3908.000            ,1107.900            ,0.000               
80, 02-05-2020 19:42:03, 15.000              ,474.586             ,66.797              ,4191.157            ,3900.000            ,1029.800            ,0.000               
80, 02-05-2020 19:42:04, 16.000              ,474.586             ,59.375              ,4191.159            ,3899.000            ,1083.800            ,0.000               
80, 02-05-2020 19:42:05, 16.000              ,474.586             ,59.375              ,4191.159            ,3898.000            ,1053.900            ,0.000               
80, 02-05-2020 19:42:06, 16.000              ,474.586             ,57.813              ,4191.158            ,3907.000            ,1045.200            ,0.000               
80, 02-05-2020 19:42:07, 16.000              ,474.586             ,60.547              ,4191.159            ,3899.000            ,1025.200            ,0.000               
80, 02-05-2020 19:42:08, 16.000              ,474.586             ,58.984              ,4191.159            ,3898.000            ,1013.000            ,0.000               
80, 02-05-2020 19:42:09, 16.000              ,474.586             ,60.156              ,4191.158            ,3880.000            ,1000.800            ,0.000               
80, 02-05-2020 19:42:10, 16.000              ,474.586             ,58.203              ,4191.158            ,3881.000            ,994.500             ,0.000               
80, 02-05-2020 19:42:11, 16.000              ,474.586             ,50.000              ,4191.159            ,3881.000            ,1030.900            ,0.000               
80, 02-05-2020 19:42:12, 17.000              ,474.586             ,32.813              ,4191.159            ,3881.000            ,1070.800            ,0.000               
80, 02-05-2020 19:42:13, 17.000              ,474.586             ,32.813              ,4191.158            ,3881.000            ,1051.400            ,0.000               
80, 02-05-2020 19:42:14, 17.000              ,474.586             ,30.469              ,4191.158            ,3881.000            ,1060.200            ,0.000               
80, 02-05-2020 19:42:15, 17.000              ,474.586             ,34.375              ,4191.158            ,3891.000            ,1023.700            ,0.000               
80, 02-05-2020 19:42:16, 17.000              ,474.586             ,32.813              ,4191.159            ,3883.000            ,1033.800            ,0.000               
80, 02-05-2020 19:42:17, 17.000              ,474.586             ,33.203              ,4191.158            ,3883.000            ,1001.300            ,0.000               
80, 02-05-2020 19:42:18, 16.000              ,474.586             ,31.250              ,4191.158            ,3883.000            ,999.700             ,0.000               
