0, 18-04-2020 17:08:48,V lang,,,,,C lang,,,,,GO lang,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:09,26,31.055,415.9,44.77,,0,5.664,24.8,41.86,,32,23.828,494.1,45.08,,31,23.828,236.7,35.29,,228,19,,,,,,,,,,,,,,,,GO,0.89,0.83,0.96,0.24,0.94,0.2446
80, 18-04-2020 17:09:10,32,21.094,504.2,44.9,,36,19.727,498.9,41.91,,31,23.242,507.2,45.09,,29,20.117,225.9,35.29,,240,20,,,,,,,,,,,,,,,,Rust,0,0,1,0,1,0.53
80, 18-04-2020 17:09:11,29,26.172,446.9,42.53,,36,20.313,514.6,41.95,,31,24.023,471.5,45.09,,26,23.047,230.3,35.29,,252,21,,,,,,,,,,,,,,,,,? min,? max,? min,? min,? min,
80, 18-04-2020 17:09:12,33,21.289,524,42.53,,37,20.117,515,41.95,,33,24.414,491.8,45.15,,29,23.242,218.4,35.29,,264,22,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:13,33,20.313,526,42.66,,36,20.313,506.2,41.95,,32,21.484,490.3,45.17,,26,20.313,221,35.29,,276,23,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:14,33,19.141,543.1,42.79,,34,21.289,478.8,42.07,,32,24.219,493.6,45.18,,21,22.852,202.3,35.29,,288,24,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:15,27,24.761,456.3,43.7,,37,19.612,535.5,42.07,,31,24.023,480.9,45.18,,23,25.391,195.5,35.26,,300,25,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:16,26,29.41,406.4,43.7,,39,20.703,536.9,42.07,,32,26.758,471.6,45.25,,25,23.384,191.7,35.26,,312,26,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:17,29,23.828,479.8,43.7,,37,19.336,534.3,42.07,,32,27.539,473.5,45.26,,20,22.852,188.1,35.26,,324,27,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:18,26,23.438,391.4,43.7,,37,19.531,492.1,42.07,,33,22.852,480.8,45.26,,22,23.047,187.2,35.26,,336,28,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:19,27,25,429.4,43.7,,38,19.727,525.4,42.18,,31,22.461,461.6,45.26,,20,21.289,181.8,35.26,,348,29,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:20,25,23.633,465.4,43.7,,39,21.289,510,42.18,,31,23.047,460.5,45.26,,26,17.773,187.9,35.26,,360,30,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:21,33,28.711,442.3,43.7,,37,20.898,460.8,42.2,,32,21.289,471.5,45.52,,25,17.578,195,35.32,,372,31,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:22,34,23.633,501.8,43.96,,39,18.75,536.7,42.22,,33,27.148,462.2,45.52,,22,17.578,189.7,35.32,,384,32,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:23,25,22.266,421.5,44.23,,41,20.508,524.1,42.22,,32,22.852,463.7,45.29,,24,17.969,184.8,35.32,,396,33,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:24,32,25,415.8,44.23,,37,20.117,508.2,42.22,,32,22.461,466.5,45.38,,23,16.992,181,35.32,,408,34,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:25,0,14.844,444.2,44.39,,36,20.508,541.6,42.25,,32,21.484,467.8,45.38,,21,16.406,178.9,35.32,,420,35,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:26,26,25.195,224.3,44.65,,40,19.922,529.2,42.32,,31,23.047,456.2,45.36,,23,15.234,177.7,35.32,,432,36,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:27,30,22.266,457.7,44.65,,39,21.484,518.5,42.32,,30,21.484,471.9,45.29,,20,17.578,173.1,35.32,,444,37,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:28,31,26.162,445.6,44.91,,39,18.359,525.9,42.32,,33,22.266,463.1,45.29,,20,17.188,169.8,35.32,,456,38,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:29,21,41.992,362.3,45.17,,40,18.164,534.7,42.32,,31,23.047,453.9,45.29,,22,15.43,171.8,35.32,,468,39,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:30,19,95.508,236.2,45.55,,40,21.094,510.4,42.32,,32,21.68,454.2,45.37,,22,16.016,167.9,35.32,,480,40,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:31,30,40.234,368.6,45.55,,40,18.555,506.1,42.37,,31,21.289,451.7,45.73,,20,20.313,156.7,35.32,,492,41,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:32,23,39.648,360.2,45.81,,39,17.969,532.6,42.45,,31,19.141,461.5,45.3,,18,15.625,156.1,35.32,,504,42,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:33,29,40.234,345.1,46.07,,39,18.75,503.7,42.45,,32,22.266,438.2,45.3,,21,17.578,153.4,35.32,,516,43,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:34,30,24.414,431.9,46.07,,38,18.945,505,42.45,,32,19.531,441.9,45.3,,17,21.68,133.6,35.32,,528,44,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:35,30,18.945,476,46.33,,37,18.555,506.2,42.45,,31,21.68,443.1,45.48,,19,19.336,137.8,35.32,,540,45,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:36,27,28.711,394.5,46.71,,38,18.945,500,42.45,,31,21.289,443.7,45.48,,19,22.144,136,35.32,,552,46,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:37,32,19.336,464.9,46.98,,38,18.555,502.7,42.45,,28,28.125,413.5,45.29,,20,18.359,141.8,35.32,,564,47,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:38,29,18.164,473.8,46.98,,38,19.531,490.4,42.55,,31,26.953,409.7,45.32,,18,16.211,141.4,35.32,,576,48,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:39,41,18.945,464.9,47.37,,38,18.164,476.9,42.55,,28,19.336,433.8,45.59,,19,17.578,134.7,35.32,,588,49,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:40,40,20.508,455.5,47.75,,38,18.359,490.4,42.56,,31,20.313,441.4,45.59,,19,21.875,120.3,35.32,,600,50,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:41,37,20.898,442,47.75,,38,19.531,491.6,42.56,,31,21.094,425.8,45.31,,20,17.773,129.7,35.32,,612,51,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:42,42,20.508,460.2,48.02,,37,19.141,496.8,42.56,,30,18.359,436,45.32,,20,16.992,126.8,35.32,,624,52,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:43,40,23.242,449.4,48.41,,37,19.141,490.6,42.56,,40,18.359,430.5,45.33,,19,20.703,133.7,35.32,,636,53,,,,,,,,,,,,,,,,,,,,,,
